No,Nama Prodi,Nama PT,Jenjang
13299,Perencanaan Wilayah Dan Kota,Universitas Esa Unggul,S1
13300,FISIOTERAPI,UNIVERSITAS ESA UNGGUL,S1
13302,Bioteknologi,Universitas Esa Unggul,S1
13303,Psikologi,Universitas Esa Unggul,S1
13306,Desain Interior,Universitas Esa Unggul,S1
13308,Ilmu Komunikasi,Universitas Esa Unggul,S1
13310,Pendidikan Bahasa Inggris,Universitas Esa Unggul,S1
13314,Manajemen Informasi Kesehatan,Universitas Esa Unggul,D-IV
13315,Teknik Informatika,Universitas Esa Unggul,S1
13316,Manajemen,Universitas Esa Unggul,S1
13317,Desain Produk,Universitas Esa Unggul,S1
13318,Akuntansi,Universitas Esa Unggul,S1
13319,Pendidikan Guru Sekolah Dasar,Universitas Esa Unggul,S1
13320,Teknik Industri,Universitas Esa Unggul,S1
13321,Sistem Informasi,Universitas Esa Unggul,S1
13322,Ilmu Hukum,Universitas Esa Unggul,S1
13329,Desain Komunikasi Visual,Universitas Esa Unggul,S1
13331,Bina Wisata,Universitas Fajar,D-III
13332,Teknik Kimia,Universitas Fajar,S1
13335,Teknik Sipil,Universitas Fajar,S1
13336,Teknik Elektro,Universitas Fajar,S1
13337,Akuntansi,Universitas Fajar,S1
13338,Akuntansi,Universitas Fajar,D-III
13339,Sastra Inggris,Universitas Fajar ,S1
13340,Ilmu Komunikasi,Universitas Fajar Makassar,S1
13341,Ilmu Hubungan Internasional,Universitas Fajar Makassar,S1
13342,Teknik Mesin,Universitas Fajar Makassar,S1
13343,Manajemen,Universitas Fajar Makassar,S1
13344,Arsitektur,Universitas Fajar Makassar,S1
13345,Arsitektur (Kampus Kota Bandung),Universitas Faletehan,S1
13346,KEBIDANAN,UNIVERSITAS FALETEHAN,D-III
13347,Teknik Elektro (Kampus Kota Bandung),Universitas Faletehan,S1
13348,Informatika (Kampus Kota Bandung),Universitas Faletehan,S1
13352,Teknik Sipil (Kampus Kota Bandung),Universitas Faletehan,S1
13353,Pendidikan Ekonomi,Universitas Flores,S1
13354,Pendidikan Fisika,Universitas Flores,S1
13355,Pendidikan Guru Sekolah Dasar,Universitas Flores,S1
13356,Pendidikan Matematika,Universitas Flores,S1
13357,Ilmu Hukum,Universitas Flores,S1
13358,Pendidikan Sejarah,Universitas Flores,S1
13359,Sistem Informasi,Universitas Flores,S1
13360,Pendidikan Bahasa Dan Sastra Indonesia,Universitas Flores,S1
13361,Teknik Sipil,Universitas Flores,S1
13362,Agroteknologi,Universitas Flores,S1
13363,Pendidikan Biologi,Universitas Flores,S1
13364,ILMU KESEHATAN MASYARAKAT,UNIVERSITAS FORT DE KOCK,S1
13365,FISIOTERAPI,UNIVERSITAS FORT DE KOCK,D-III
13366,KEPERAWATAN,UNIVERSITAS FORT DE KOCK,S1
13367,NERS,UNIVERSITAS FORT DE KOCK,Profesi
13371,Metrologi Dan Instrumentasi,Universitas Gadjah Mada,D-III
13372,Profesi Akuntan,Universitas Gadjah Mada,Profesi
13373,Ekonomi Pertanian Dan Agribisnis,Universitas Gadjah Mada,S1
13374,Agronomi,Universitas Gadjah Mada,S1
13376,ILMU PENYAKIT JANTUNG DAN PEMBULUH DARAH,UNIVERSITAS GADJAH MADA,Spesialis
13377,ILMU BEDAH,UNIVERSITAS GADJAH MADA,Spesialis
13378,PERIODONSIA,UNIVERSITAS GADJAH MADA,Spesialis
13381,KEBIDANAN,UNIVERSITAS GADJAH MADA,D-IV
13391,Arkeologi,Universitas Gadjah Mada,S1
13395,Teknik Geologi,Universitas Gadjah Mada,S1
13397,Pariwisata,Universitas Gadjah Mada,S1
13398,Teknik Mesin,Universitas Gadjah Mada,D-III
13401,Teknologi Listrik,Universitas Gadjah Mada,D-III
13417,Teknik Fisika,Universitas Gadjah Mada,S1
13419,Teknik Sipil,Universitas Gadjah Mada,D-III
13420,Bahasa Dan Kebudayaan Korea,Universitas Gadjah Mada,S1
13421,Teknik Geomatika,Universitas Gadjah Mada,D-III
13424,Teknik Nuklir,Universitas Gadjah Mada,S1
13431,Teknik Pertanian,Universitas Gadjah Mada,S1
13432,Teknologi Pangan Dan Hasil Pertanian,Universitas Gadjah Mada,S1
13433,Mikrobiologi Pertanian,Universitas Gadjah Mada,S1
13434,Geofisika,Universitas Gadjah Mada,S1
13435,Fisika,Universitas Gadjah Mada,S1
13437,Sosiologi,Universitas Gadjah Mada,S1
13439,Manajemen Sumberdaya Akuatik,Universitas Gadjah Mada,S1
13441,Ilmu Ekonomi,Universitas Gadjah Mada,S1
13442,Program Profesi Insinyur,Universitas Gadjah Mada,Profesi
13443,Pembangunan Ekonomi Kewilayahan,Universitas Gadjah Mada,D-IV
13446,Kehutanan,Universitas Gadjah Mada,S1
13447,Sastra Jepang,Universitas Gadjah Mada,S1
13448,Sejarah,Universitas Gadjah Mada,S1
13449,Antropologi Budaya,Universitas Gadjah Mada,S1
13450,Hukum,Universitas Gadjah Mada,S1
13452,Sastra Jawa,Universitas Gadjah Mada,S1
13453,Sastra Arab,Universitas Gadjah Mada,S1
13465,Akuakultur,Universitas Gadjah Mada,S1
13466,Bahasa Dan Sastra Indonesia,Universitas Gadjah Mada,S1
13468,Pariwisata,Universitas Gadjah Mada,D-III
13469,Teknologi Instrumentasi,Universitas Gadjah Mada,D-III
13471,Filsafat,Universitas Gadjah Mada,S1
13476,Ilmu Dan Industri Peternakan,Universitas Gadjah Mada,S1
13477,Ilmu Komputer,Universitas Gadjah Mada,S1
13478,Kartografi Dan Penginderaan Jauh,Universitas Gadjah Mada,S1
13480,Teknik Pengelolaan Dan Perawatan Alat Berat,Universitas Gadjah Mada,D-IV
13481,Pengelolaan Hutan,Universitas Gadjah Mada,D-III
13482,Ilmu Tanah,Universitas Gadjah Mada,S1
13483,Pendidikan Profesi Arsitek,Universitas Gadjah Mada,Profesi
13484,Akuntansi,Universitas Gadjah Mada,D-III
13486,Sastra Inggris,Universitas Gadjah Mada,S1
13488,Ilmu Komunikasi,Universitas Gadjah Mada,S1
13489,Pembangunan Sosial Dan Kesejahteraan,Universitas Gadjah Mada,S1
13490,Ilmu Hubungan Internasional,Universitas Gadjah Mada,S1
13494,Teknik Sipil,Universitas Gadjah Mada,S1
13496,Akuntansi,Universitas Gadjah Mada,S1
13498,Elektronika Dan Instrumentasi,Universitas Gadjah Mada,S1
13499,Biologi,Universitas Gadjah Mada,S1
13500,Geografi Lingkungan,Universitas Gadjah Mada,S1
13501,Arsitektur,Universitas Gadjah Mada,S1
13502,Kimia,Universitas Gadjah Mada,S1
13503,Teknik Elektro,Universitas Gadjah Mada,S1
13504,Teknik Industri,Universitas Gadjah Mada,S1
13505,Teknologi Informasi,Universitas Gadjah Mada,S1
13510,Manajemen,Universitas Gadjah Mada,S1
13512,Matematika,Universitas Gadjah Mada,S1
13513,Statistika,Universitas Gadjah Mada,S1
13515,Teknik Geodesi,Universitas Gadjah Mada,S1
13516,Teknologi Industri Pertanian,Universitas Gadjah Mada,S1
13518,Kearsipan,Universitas Gadjah Mada,D-III
13519,Penginderaan Jauh Dan Sistem Informasi Geografi,Universitas Gadjah Mada,D-III
13521,Bahasa Jepang,Universitas Gadjah Mada,D-III
13522,Bahasa Inggris,Universitas Gadjah Mada,D-III
13525,Pembangunan Wilayah,Universitas Gadjah Mada,S1
13528,Bahasa Korea,Universitas Gadjah Mada,D-III
13529,Teknik Kimia,Universitas Gadjah Mada,S1
13530,Manajemen,Universitas Gadjah Mada,D-III
13533,Ekonomika Terapan,Universitas Gadjah Mada,D-III
13539,Manajemen Dan Kebijakan Publik,Universitas Gadjah Mada,S1
13541,Teknik Mesin,Universitas Gadjah Mada,S1
13542,Teknologi Rekayasa Internet,Universitas Gadjah Mada,D-IV
13548,Kesehatan Hewan,Universitas Gadjah Mada,D-III
13549,Psikologi,Universitas Gadjah Mada,S1
13554,Politik Dan Pemerintahan,Universitas Gadjah Mada,S1
13559,Komputer Dan Sistem Informasi,Universitas Gadjah Mada,D-III
13560,Agroindustri,Universitas Gadjah Mada,D-III
13562,Pengelolaan Hutan,Universitas Gadjah Mada,D-IV
13572,Teknik Pengelolaan Dan Pemeliharaan Infrastruktur Sipil,Universitas Gadjah Mada,D-IV
13582,Teknologi Rekayasa Perangkat Lunak,Universitas Gadjah Mada,D-IV
13583,Bahasa Inggris,Universitas Gadjah Mada,D-IV
13604,Ilmu Aktuaria,Universitas Gadjah Mada,S1
13605,Pengembangan Produk Agroindustri,Universitas Gadjah Mada,D-IV
13606,Sistem Informasi Geografis,Universitas Gadjah Mada,D-IV
13609,Teknologi Rekayasa Instrumentasi Dan Kontrol,Universitas Gadjah Mada,D-IV
13614,Sastra Prancis,Universitas Gadjah Mada,S1
13616,Manajemen Dan Penilaian Properti,Universitas Gadjah Mada,D-IV
13617,Bisnis Perjalanan Wisata,Universitas Gadjah Mada,D-IV
13618,Teknik Infrastruktur Lingkungan,Universitas Gadjah Mada,S1
13621,Teknologi Rekayasa Mesin,Universitas Gadjah Mada,D-IV
13622,Teknologi Survei Dan Pemetaan Dasar,Universitas Gadjah Mada,D-IV
13623,Akuntansi Sektor Publik,Universitas Gadjah Mada,D-IV
13624,Teknologi Rekayasa Elektro,Universitas Gadjah Mada,D-IV
13626,Perencanaan Wilayah Dan Kota,Universitas Gadjah Mada,S1
13628,Penyuluhan Dan Komunikasi Pertanian,Universitas Gadjah Mada,S1
13629,Teknologi Hasil Perikanan,Universitas Gadjah Mada,S1
13630,Proteksi Tanaman,Universitas Gadjah Mada,S1
13631,Teknologi Veteriner,Universitas Gadjah Mada,D-IV
13632,Pengelolaan Arsip Dan Rekaman Informasi,Universitas Gadjah Mada,D-IV
13639,Perbankan,Universitas Gadjah Mada,D-IV
13640,Teknik Biomedis,Universitas Gadjah Mada,S1
13650,Profesi Insinyur Peternakan,Universitas Gadjah Mada,Profesi
